folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1
NASDAQ_CEQP_2019,0.0064516087408975865,10.355804439421526,22.82,-7.64,23.6,29.3,0.12366202359513402,0.4190424848284378,6,5,279,192,6,0.9883604645729065,0.011639566160738468,0.5427972674369812,0.4572027623653412,0.5799721479415894,0.4200279116630554,0.8693854212760925,0.1306145340204239,0.5500345826148987,0.4499654173851013,0.974324643611908,0.02567535825073719,0.9357449412345886,0.06425506621599197
NASDAQ_ZEAL_2013,0.0,9.236300473645715,15.97,20.92,18.1,17.2,0.17160612824675323,0.4325301001082254,2,2,111,69,1,0.9998713731765747,0.0001286901970161125,0.6076349020004272,0.39236512780189514,0.5496360659599304,0.4503638744354248,0.7043679356575012,0.2956320643424988,0.4008381962776184,0.5991618037223816,0.9564770460128784,0.04352293908596039,0.9996629953384399,0.0003370308259036392
NASDAQ_LOGI_2018,0.013392855947066434,11.98132781284899,12.18,20.72,17.3,17.5,0.1533301591896713,0.4219078241846902,70,27,1653,834,21,0.9913393259048462,0.008660747669637203,0.42968258261680603,0.5703174471855164,0.4563317894935608,0.543668270111084,0.8369238376617432,0.16307620704174042,0.5697256326675415,0.4302743971347809,0.9706025719642639,0.029397422447800636,0.9998229742050171,0.00017711540567688644
NASDAQ_PTC_2018_2019,0.004716978907085421,10.512328784042817,14.17,28.47,17.4,17.2,0.13299171974570612,0.37854368233639263,26,3,436,189,4,0.9763249158859253,0.023675037547945976,0.289334237575531,0.7106658220291138,0.6739014983177185,0.3260985016822815,0.9184236526489258,0.08157634735107422,0.3738461136817932,0.6261539459228516,0.9764181971549988,0.023581819608807564,0.9995455741882324,0.0004544213297776878
NASDAQ_EGLE_2019,0.008620682223549806,10.46296047312364,15.18,26.85,17.7,18.3,0.062345185274373244,0.3814354450607645,18,15,347,229,4,0.9876857995986938,0.012314299121499062,0.7391026020050049,0.2608974874019623,0.48493900895118713,0.5150609612464905,0.8116831183433533,0.18831685185432434,0.7782362699508667,0.2217637449502945,0.8559679985046387,0.14403198659420013,0.9763473868370056,0.023652609437704086
NASDAQ_INFN_2020,0.0009107467294401886,11.708845804426998,13.45,10.03,18.9,19.6,0.12728563661317974,0.371186067906912,29,31,1111,590,15,0.9927946329116821,0.007205403875559568,0.39178913831710815,0.6082109212875366,0.5645745396614075,0.43542546033859253,0.7786932587623596,0.22130681574344635,0.4565069377422333,0.5434930324554443,0.9610803723335266,0.03891966491937637,0.9997550249099731,0.00024505608598701656
NASDAQ_AMAT_2016,0.027522910529439882,10.64818299497665,13.18,22.75,17.5,17.4,0.10935602036007729,0.3402168037056473,17,14,365,212,3,0.9792400002479553,0.020760005339980125,0.43600136041641235,0.5639985799789429,0.5492924451828003,0.4507075846195221,0.9372263550758362,0.06277366727590561,0.5292260050773621,0.4707740843296051,0.9176412224769592,0.08235878497362137,0.9997017979621887,0.0002981390571221709
NASDAQ_PRGO_2020,0.03816792436338765,10.917793892150982,12.31,23.46,16.7,15.9,0.14164497680036353,0.38580616896915276,38,15,552,340,14,0.9340260028839111,0.06597398221492767,0.27697697281837463,0.7230229377746582,0.5997681021690369,0.4002320170402527,0.9229094982147217,0.07709044218063354,0.42727506160736084,0.5727249383926392,0.945684015750885,0.05431603267788887,0.9921356439590454,0.007864311337471008
NASDAQ_MSFT_2015,0.011029410953719784,12.169730186227342,13.39,17.27,19.2,20.2,0.1285243327827191,0.374644350747292,87,44,1842,786,30,0.9974785447120667,0.002521479967981577,0.31512945890426636,0.6848705410957336,0.5893267393112183,0.4106731712818146,0.7735626101493835,0.22643733024597168,0.458073228597641,0.5419267416000366,0.9611388444900513,0.038861095905303955,0.9956552982330322,0.004344679415225983
NASDAQ_FLIR_2018,0.03157893628809253,10.7213713144974,13.54,28.37,16.4,16.3,0.1364260245580472,0.44593653953204493,22,14,577,238,11,0.9868239760398865,0.013176043517887592,0.6654760241508484,0.334524005651474,0.655555009841919,0.34444501996040344,0.8496886491775513,0.15031132102012634,0.725016713142395,0.274983286857605,0.9813233017921448,0.018676701933145523,0.9998414516448975,0.0001585234422236681
NASDAQ_PRGS_2012,0.026315720221788887,9.623773649733524,14.52,23.56,17.0,17.3,0.08682984085158003,0.3834466821423341,7,1,169,81,1,0.9732910990715027,0.026708992198109627,0.3689254820346832,0.6310744881629944,0.2400456964969635,0.7599542737007141,0.9383562803268433,0.06164364889264107,0.8415312170982361,0.1584688425064087,0.868370532989502,0.13162942230701447,0.9738829731941223,0.026116902008652687
NASDAQ_COMM_2022,0.00986436376518326,11.891622140797683,10.76,25.39,16.6,16.3,0.11280611019211897,0.389347389025715,67,36,1378,825,19,0.9953947067260742,0.004605308640748262,0.5805171728134155,0.4194827675819397,0.5121632218360901,0.4878368377685547,0.8952261805534363,0.10477380454540253,0.698532223701477,0.3014678359031677,0.9496918320655823,0.050308167934417725,0.9979869723320007,0.00201303418725729
NASDAQ_BIIB_2020,0.008526187056870459,12.560760115750803,11.78,21.02,17.5,17.4,0.12366425927577618,0.3961097097945752,186,42,2778,1678,72,0.9967589974403381,0.003241119673475623,0.4097178876399994,0.5902820825576782,0.6804618239402771,0.3195381760597229,0.9127086997032166,0.08729137480258942,0.604924201965332,0.3950757086277008,0.9709033370018005,0.029096661135554314,0.9993687272071838,0.0006312390905804932
NASDAQ_PFG_2017,0.00759493478609246,10.888333726905788,13.54,20.62,18.6,18.4,0.17236668420821832,0.3635667215081116,36,23,756,174,7,0.9998414516448975,0.00015851846546866,0.4291467070579529,0.5708532929420471,0.5329726934432983,0.46702733635902405,0.8477871417999268,0.1522129476070404,0.3301561772823334,0.6698437929153442,0.974738359451294,0.025261687114834785,0.9996998310089111,0.0003001664881594479
NASDAQ_TRMB_2018_2020,0.006696427076690385,11.166214996056205,13.49,20.72,17.8,18.5,0.13148554970670348,0.38657441055000247,45,19,808,285,18,0.9571729302406311,0.04282704368233681,0.40986552834510803,0.5901345014572144,0.4272608458995819,0.5727391839027405,0.8439898490905762,0.15601012110710144,0.548949658870697,0.4510503113269806,0.9524897336959839,0.04751032590866089,0.9805189967155457,0.019481053575873375
NASDAQ_WYNN_2017,0.0,11.3523575721385,13.15,20.82,17.4,17.9,0.16245114511451164,0.41607141868032965,57,22,808,460,38,0.9951536059379578,0.0048463610000908375,0.42156052589416504,0.578439474105835,0.6612037420272827,0.3387962579727173,0.9039443135261536,0.09605565667152405,0.5231318473815918,0.4768681824207306,0.9335606098175049,0.06643936038017273,0.967880129814148,0.03211987763643265
NASDAQ_UNFI_2014,0.0,10.378261037909617,13.85,28.77,17.4,17.3,0.09238693782102142,0.3786054272629829,13,4,303,187,3,0.9479033350944519,0.05209670215845108,0.4716030955314636,0.5283969044685364,0.25756049156188965,0.7424395084381104,0.9804178476333618,0.01958213374018669,0.6745772957801819,0.3254227340221405,0.925702691078186,0.07429732382297516,0.9869071841239929,0.01309277955442667
NASDAQ_BPOP_2019,0.002610965375727056,11.125806040978839,13.85,19.71,18.7,18.6,0.19688104291946626,0.4586644389441068,25,12,741,329,23,0.9998763799667358,0.00012356098159216344,0.40784379839897156,0.5921562314033508,0.7601402997970581,0.23985974490642548,0.8812831044197083,0.11871690303087234,0.4672308564186096,0.5327691435813904,0.9715793132781982,0.028420768678188324,0.9879986643791199,0.012001370079815388
NASDAQ_KALU_2019,0.004175364472784035,11.28924426915111,16.44,4.04,21.2,22.9,0.13049272042409285,0.3809642458122858,52,13,753,374,10,0.9947039484977722,0.005296066403388977,0.6014358401298523,0.3985642194747925,0.5542753338813782,0.44572460651397705,0.847061812877655,0.15293820202350616,0.7297592163085938,0.27024075388908386,0.9690221548080444,0.030977819114923477,0.9998170733451843,0.00018301233649253845
NASDAQ_COLM_2019,0.007751936482182853,11.424880827077633,12.02,31.01,16.5,16.1,0.12882652187736926,0.3789511593424858,29,19,940,605,12,0.9760689735412598,0.023931052535772324,0.4165957272052765,0.5834042429924011,0.6080262064933777,0.3919737935066223,0.9017146825790405,0.09828534722328186,0.6124141216278076,0.3875858783721924,0.8956831693649292,0.10431677848100662,0.9806844592094421,0.019315611571073532
NASDAQ_JBLU_2019_2020,0.011428569251701095,11.67201251229127,12.65,29.18,16.9,17.2,0.11132520998683605,0.39429967867517013,51,27,1073,698,30,0.9863039255142212,0.013696059584617615,0.48871615529060364,0.5112838745117188,0.3334445059299469,0.6665554642677307,0.8499695658683777,0.15003043413162231,0.7093576192855835,0.2906423807144165,0.9760010838508606,0.023998906835913658,0.993933916091919,0.0060660033486783504
NASDAQ_SNBR_2019,0.015337420960518258,11.279832582802351,13.83,27.66,17.2,17.9,0.14785191240740142,0.39229498425202464,50,12,895,396,24,0.9890084862709045,0.010991528630256653,0.5134126543998718,0.4865873157978058,0.7934548258781433,0.20654518902301788,0.8579286336898804,0.14207138121128082,0.4890662431716919,0.5109337568283081,0.9945647716522217,0.005435318220406771,0.9997497797012329,0.000250210432568565
NASDAQ_SP_2018,0.0033783772370347175,11.140324370481236,13.43,12.67,18.9,19.1,0.10428996651370451,0.37105494778073234,16,6,695,320,7,0.9950243234634399,0.00497556384652853,0.6717560291290283,0.3282439708709717,0.5968941450119019,0.40310585498809814,0.8703650236129761,0.1296350359916687,0.6595244407653809,0.34047558903694153,0.9332879185676575,0.06671205908060074,0.9998175501823425,0.0001823871280066669
NASDAQ_AAWW_2018_2019,0.008032126901179338,11.165281051345765,12.93,21.53,17.5,17.8,0.1269591359925078,0.3650444252716987,37,32,822,310,9,0.9998566508293152,0.00014331188867799938,0.38072147965431213,0.6192784905433655,0.5780889987945557,0.4219110608100891,0.7442582845687866,0.25574174523353577,0.5592111945152283,0.44078877568244934,0.9751393795013428,0.02486063912510872,0.9937372207641602,0.006262767594307661
NASDAQ_CNSL_2019,0.007092193551635779,9.995747630961425,14.63,12.87,18.7,18.6,0.20781826198492837,0.423509700176367,15,6,255,86,5,0.9997118711471558,0.00028808010392822325,0.5650635361671448,0.43493640422821045,0.7424352169036865,0.2575647532939911,0.8794340491294861,0.1205659881234169,0.36471185088157654,0.6352881789207458,0.9999445676803589,5.538238474400714e-05,0.9997043013572693,0.0002956978278234601
NASDAQ_PETD_2018,0.0,8.943114308091785,15.42,35.81,16.0,14.7,0.12493912337662337,0.3832656926406926,5,1,75,55,2,0.9998318552970886,0.00016813771799206734,0.5824081301689148,0.4175918400287628,0.6384091377258301,0.36159083247184753,0.974576473236084,0.025423536077141762,0.7237074971199036,0.2762925624847412,0.947341799736023,0.05265820026397705,0.9800171852111816,0.01998274028301239
NASDAQ_COST_2019,0.012844034340544158,11.941143093524367,11.82,30.6,16.5,16.5,0.10322260874654977,0.395954306180825,145,33,1731,963,51,0.9217671751976013,0.0782327651977539,0.33732733130455017,0.6626726984977722,0.4869232475757599,0.5130767226219177,0.958609402179718,0.04139060899615288,0.7897809743881226,0.21021898090839386,0.922235369682312,0.07776465266942978,0.9039631485939026,0.0960368737578392
NASDAQ_TSLA_2018,0.0,11.109413448336603,13.02,29.59,17.0,16.3,0.11092390579925686,0.42663118404691497,49,23,784,394,19,0.9886107444763184,0.011389194056391716,0.41182681918144226,0.5881732106208801,0.41678059101104736,0.5832194685935974,0.9404921531677246,0.059507839381694794,0.7815651893615723,0.2184348702430725,0.9383072257041931,0.06169282644987106,0.9994044303894043,0.0005956190871074796
NASDAQ_HA_2020,0.004807689996302886,10.200290403937228,13.8,23.26,16.9,16.6,0.11651154401154412,0.36679265179265175,14,8,273,124,0,0.9998366832733154,0.000163343342137523,0.4105372428894043,0.5894627571105957,0.5411937832832336,0.45880624651908875,0.8923357129096985,0.10766423493623734,0.6772558093070984,0.32274413108825684,0.9706669449806213,0.02933301404118538,0.9996932148933411,0.00030681444332003593
NASDAQ_CRTO_2018,0.00854700124187928,11.191176309901897,12.18,31.72,16.6,15.6,0.09614199384430594,0.36467025107198553,33,22,739,438,10,0.983247697353363,0.016752231866121292,0.5615362524986267,0.4384637475013733,0.7524285316467285,0.24757152795791626,0.916813850402832,0.08318617194890976,0.7103787660598755,0.2896212041378021,0.9943893551826477,0.005610667169094086,0.9997761845588684,0.00022381111921276897
NASDAQ_EGLE_2022,0.012499996093751221,11.09957434383794,13.39,29.08,16.6,16.4,0.08219850554993031,0.39256198158844025,29,18,669,474,35,0.9998739361763,0.00012610714475158602,0.6382042765617371,0.36179572343826294,0.4119114279747009,0.5880885720252991,0.8633665442466736,0.1366334706544876,0.8038265109062195,0.19617348909378052,0.9566109776496887,0.04338902235031128,0.9877390265464783,0.012260928750038147
NASDAQ_MKTX_2020,0.03617570592045143,11.521994219230105,11.81,23.05,16.7,16.1,0.15043803701966926,0.40131960051112336,45,27,1170,541,30,0.9856472015380859,0.014352777041494846,0.48619934916496277,0.5138007402420044,0.7098841667175293,0.2901158034801483,0.7808616757392883,0.21913830935955048,0.4668656289577484,0.533134400844574,0.9956479072570801,0.004352010320872068,0.9997519254684448,0.0002479884133208543
NASDAQ_REGI_2019,0.009999996666667779,10.910715279402385,12.16,24.78,16.5,15.7,0.10055571557396387,0.3785026196431309,40,13,529,351,10,0.9979251623153687,0.0020748255774378777,0.5584326386451721,0.4415673613548279,0.3749583065509796,0.6250417232513428,0.8330485224723816,0.16695144772529602,0.7515645623207092,0.24843543767929077,0.9845060706138611,0.015493929386138916,0.9843289852142334,0.01567099802196026
NASDAQ_AMD_2014_2015,0.013513511687363287,12.480300869471927,9.99,18.15,16.5,18.0,0.09454847428671428,0.37870139433844513,100,36,2276,1281,29,0.9949095249176025,0.005090407561510801,0.5341631174087524,0.46583694219589233,0.6475491523742676,0.3524508774280548,0.867834746837616,0.13216537237167358,0.7365792393684387,0.2634207308292389,0.9506128430366516,0.04938723146915436,0.9998179078102112,0.00018216411990579218
NASDAQ_ACIW_2021,0.03821653616781136,10.563155506021905,14.02,13.07,18.2,18.1,0.08716924818300972,0.30173004442041124,15,6,395,162,11,0.9692928791046143,0.030707139521837234,0.6673914790153503,0.33260852098464966,0.4361174702644348,0.5638824701309204,0.6858057379722595,0.31419429183006287,0.565122663974762,0.4348773956298828,0.9591543078422546,0.04084567725658417,0.9801700115203857,0.019829925149679184
NASDAQ_FB_2020,0.006501949739668435,11.544453201374523,12.4,20.82,16.7,17.3,0.09306230780247637,0.36760825005207043,67,35,1010,576,42,0.9523423910140991,0.047657642513513565,0.2553178668022156,0.7446821331977844,0.10148481279611588,0.8985151648521423,0.9516208171844482,0.04837927594780922,0.7730401158332825,0.22695986926555634,0.851199746131897,0.14880020916461945,0.8968091011047363,0.10319092869758606
NASDAQ_EXLS_2020,0.014297060024061952,12.15968309757448,10.77,15.31,17.5,17.1,0.11088301569832128,0.35025257441915214,95,37,1757,1000,14,0.9921709895133972,0.007828968577086926,0.5009230971336365,0.4990769028663635,0.5562410354614258,0.4437589645385742,0.7297016382217407,0.27029839158058167,0.4832063913345337,0.5167936086654663,0.9477450847625732,0.05225486680865288,0.9998205304145813,0.00017945760919246823
NASDAQ_BCPC_2020,0.009107466464942357,11.303536878888355,12.57,21.94,17.6,17.2,0.13136243331249262,0.39675002596821923,38,12,763,479,19,0.974455714225769,0.025544293224811554,0.4538314640522003,0.5461685061454773,0.5366377234458923,0.4633622169494629,0.8880305290222168,0.11196950823068619,0.5813781023025513,0.41862189769744873,0.8924373984336853,0.10756266862154007,0.9979180097579956,0.0020820260979235172
NASDAQ_BCPC_2019,0.007194242879078446,11.136281022670257,13.36,20.52,18.1,18.3,0.13399386516461428,0.38454697399942367,43,9,627,363,10,0.9816662669181824,0.018333682790398598,0.5433907508850098,0.4566092789173126,0.5694742798805237,0.4305257201194763,0.8530868291854858,0.14691315591335297,0.612332284450531,0.3876676559448242,0.9151133894920349,0.08488662540912628,0.9804099202156067,0.01959000527858734
NASDAQ_INTC_2007,0.009820912199831762,12.935718086730292,9.8,25.19,16.4,16.0,0.10950536686059308,0.36355225271578046,280,97,3640,2562,101,0.9907349348068237,0.009265010245144367,0.3458724915981293,0.6541275382041931,0.6369301676750183,0.3630698025226593,0.897542417049408,0.10245753824710846,0.5967081785202026,0.403291791677475,0.9540505409240723,0.04594944044947624,0.9870747327804565,0.012925258837640285
NASDAQ_SBNY_2020,0.01662049401094349,11.529320331655915,12.54,30.2,16.9,16.9,0.1567284114222885,0.3897157591715415,51,28,1074,596,16,0.9961677193641663,0.003832200076431036,0.5286157727241516,0.4713842570781708,0.8370358943939209,0.16296416521072388,0.8707859516143799,0.1292140632867813,0.6125882267951965,0.38741177320480347,0.995606005191803,0.00439395010471344,0.9998108148574829,0.0001891460851766169
NASDAQ_VRSK_2019,0.0,11.408764229887884,14.94,17.78,18.5,19.3,0.10411177821661287,0.3272058241654932,64,15,723,513,8,0.9591575264930725,0.040842533111572266,0.5337244868278503,0.46627554297447205,0.5731984376907349,0.42680156230926514,0.945344865322113,0.0546550378203392,0.6894375681877136,0.3105624318122864,0.9549053907394409,0.045094557106494904,0.9994780421257019,0.0005219526938162744
NASDAQ_AAWW_2020,0.0015455948152094568,11.44702067758251,12.48,13.78,17.6,17.7,0.14008437819378303,0.37149167770808916,53,31,968,451,9,0.9952495098114014,0.004750457592308521,0.37230923771858215,0.6276906728744507,0.591063916683197,0.40893611311912537,0.8036488890647888,0.19635114073753357,0.5428016185760498,0.4571983218193054,0.9907474517822266,0.009252507239580154,0.9952060580253601,0.0047939433716237545
NASDAQ_ADBE_2016,0.015624975585975646,9.618668045697824,20.07,8.44,20.9,23.6,0.10464654663518305,0.3790477420306966,9,0,111,80,1,0.9998602867126465,0.00013973668683320284,0.8041315674781799,0.19586844742298126,0.6204810738563538,0.37951886653900146,0.9148579835891724,0.08514205366373062,0.6457449197769165,0.35425513982772827,0.9736323952674866,0.0263676680624485,0.9998350739479065,0.0001648876495892182
NASDAQ_NTGR_2017,0.058823183393038866,8.849083518532339,13.59,40.28,15.6,14.9,0.1193328589219,0.572364940995078,2,1,43,33,0,0.9998587965965271,0.00014123220171313733,0.5280275940895081,0.4719724655151367,0.31076204776763916,0.6892379522323608,0.966876208782196,0.03312375769019127,0.9092970490455627,0.09070298820734024,0.8181453347206116,0.18185468018054962,0.9989470839500427,0.0010528870625421405
NASDAQ_NLOK_2020,0.05230768426035627,11.47535858348313,11.59,23.36,17.3,16.7,0.13220230371363864,0.37661624968929747,56,10,906,501,24,0.9678566455841064,0.03214326500892639,0.4439234435558319,0.5560765266418457,0.7284881472587585,0.27151191234588623,0.8639863729476929,0.1360136717557907,0.4503423273563385,0.5496576428413391,0.9772188067436218,0.022781159728765488,0.9996281266212463,0.00037182329106144607
NASDAQ_FSLR_2020,0.004901959582853044,11.50149033234428,13.45,10.84,18.2,19.4,0.10838789976748064,0.34642434234094555,55,23,753,533,11,0.986503005027771,0.013497047126293182,0.594613254070282,0.4053868055343628,0.38920068740844727,0.6107993125915527,0.8754239082336426,0.12457612156867981,0.6742510795593262,0.32574892044067383,0.8903816938400269,0.10961830615997314,0.9961931109428406,0.00380691303871572
NASDAQ_CAR_2018,0.029715758434656535,11.422639641919652,14.52,16.25,18.7,19.3,0.1304986495343291,0.36543594972476434,60,46,1059,392,7,0.9757823944091797,0.024217596277594566,0.42092183232307434,0.5790781378746033,0.5863333940505981,0.41366657614707947,0.8876593708992004,0.11234055459499359,0.5882412195205688,0.4117587208747864,0.9608550071716309,0.03914502635598183,0.9951356053352356,0.004864350892603397
NASDAQ_SLAB_2021,0.0,10.438078529852381,12.55,16.93,17.2,16.5,0.11461908804501408,0.3436550692106243,22,11,384,134,4,0.999840259552002,0.000159719682415016,0.4429212510585785,0.5570787191390991,0.4615609049797058,0.538439154624939,0.7629985809326172,0.2370014488697052,0.48684510588645935,0.5131548643112183,0.9008620977401733,0.09913792461156845,0.999760627746582,0.00023935564968269318
NASDAQ_NLOK_2019,0.02564101742275083,11.141064364275842,13.18,20.21,17.5,17.6,0.12117312177646364,0.3437089828488346,32,17,524,364,6,0.9875326156616211,0.012467297725379467,0.4931706488132477,0.5068293213844299,0.6551923155784607,0.3448077142238617,0.9030085206031799,0.09699146449565887,0.5507550239562988,0.44924503564834595,0.9492605924606323,0.0507393479347229,0.9997685551643372,0.00023141321435105056
