folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1
NYSE_PFS_2019,0.01776649595884129,12.196365685060032,13.5,24.31,17.5,18.6,0.11217173517249879,0.37033788942444784,117,17,2245,1161,85,0.9972401857376099,0.0027598165906965733,0.5254342555999756,0.4745657444000244,0.6747371554374695,0.3252628445625305,0.8983678817749023,0.10163216292858124,0.47330835461616516,0.5266916155815125,0.9924757480621338,0.007524254731833935,0.9998452663421631,0.0001547654246678576
NYSE_HRL_2019,0.006784259595080109,11.622407475587226,11.78,21.94,17.3,17.7,0.15246725963112492,0.3930921063063928,84,34,944,676,26,0.9885959625244141,0.011404046788811684,0.42826715111732483,0.5717328190803528,0.6223341822624207,0.37766578793525696,0.8690176010131836,0.1309823840856552,0.578098714351654,0.42190128564834595,0.8796497583389282,0.12035028636455536,0.9899904727935791,0.010009603574872017
NYSE_WM_2021,0.021574970703886656,12.158629823287825,10.82,32.53,16.0,15.0,0.11257172615931484,0.38254433042660013,118,35,2064,1252,49,0.9651215672492981,0.0348784476518631,0.4728642404079437,0.5271358489990234,0.4355102777481079,0.5644897818565369,0.9662977457046509,0.03370233625173569,0.7703529596328735,0.22964707016944885,0.9733008742332458,0.02669910527765751,0.9613050818443298,0.03869495168328285
NYSE_VEDL_2016,0.008340282874038126,12.302441355802483,12.23,20.52,17.9,18.0,0.12171777555124878,0.38790488642441684,85,48,2165,1351,44,0.98590487241745,0.014095070771872997,0.44394659996032715,0.5560534000396729,0.490003764629364,0.5099962949752808,0.8756415247917175,0.12435855716466904,0.5621822476387024,0.4378177225589752,0.8975734114646912,0.10242660343647003,0.9497296810150146,0.050270311534404755
NYSE_JWN_2021,0.007751936782645461,11.181779021104363,12.4,30.2,16.0,16.5,0.13881242474313107,0.39921710121098686,31,14,803,481,20,0.9951398372650146,0.0048601701855659485,0.19930508732795715,0.8006949424743652,0.6496582627296448,0.3503417670726776,0.8376721143722534,0.16232788562774658,0.41487714648246765,0.58512282371521,0.9703604578971863,0.029639529064297676,0.9859651327133179,0.014034854248166084
NYSE_CHK_2017,0.0033670022333325816,10.648562825956432,12.9,15.91,17.3,17.0,0.1353972495667702,0.3806002185283011,19,10,447,209,5,0.9994703531265259,0.0005296235904097557,0.4035223722457886,0.5964775681495667,0.6034969687461853,0.3965030610561371,0.8738182783126831,0.1261817216873169,0.576407790184021,0.4235922396183014,0.9078186750411987,0.0921812653541565,0.9694094061851501,0.03059052862226963
NYSE_BHP_2005,0.00933609926223723,13.640464073540203,11.67,19.2,18.3,18.4,0.10883866238003007,0.39526178252408045,363,162,7817,5886,228,0.9874439835548401,0.01255593728274107,0.6258623003959656,0.37413763999938965,0.5081756114959717,0.4918244183063507,0.9188823103904724,0.0811176523566246,0.6701552867889404,0.32984471321105957,0.9344596266746521,0.0655403882265091,0.9634648561477661,0.03653514385223389
NYSE_DELL_2008,0.011089366530374003,12.916202304030103,9.81,25.08,16.3,15.7,0.12615684295588867,0.3686293048379936,279,102,3934,2193,126,0.9387659430503845,0.0612340122461319,0.35513222217559814,0.6448677778244019,0.506410539150238,0.49358949065208435,0.90062415599823,0.09937577694654465,0.6950819492340088,0.30491796135902405,0.9824467897415161,0.017553161829710007,0.9953669309616089,0.004633190110325813
NYSE_TMO_2014,0.01685392311577353,10.268095943298984,13.72,29.79,16.6,16.7,0.14593337384079708,0.36141643150175584,22,3,299,206,5,0.9998329877853394,0.00016701278218533844,0.18824242055416107,0.8117575645446777,0.6433566212654114,0.3566433787345886,0.9660213589668274,0.03397863730788231,0.5145615339279175,0.4854384958744049,0.9242026805877686,0.07579735666513443,0.9998300671577454,0.00016991337179206312
NYSE_AA_2019,0.006199627637964809,12.553742666576765,10.89,23.26,17.0,16.3,0.08239713172794953,0.3749448221366432,109,48,2598,1939,53,0.9579097628593445,0.042090173810720444,0.4805995225906372,0.5194004774093628,0.4841638505458832,0.5158361196517944,0.9096068143844604,0.09039311856031418,0.7259226441383362,0.27407723665237427,0.8978744149208069,0.10212557017803192,0.9303743839263916,0.06962563842535019
