folder_name,perspective_taking,length,readability_fog,readability_flesch_reading_ease,readability_smog,readability_automated_readability,sentiment_polarity,sentiment_subjectivity,comparative,superlative,present,past,future,ESGBERT/EnvironmentalBERT-forest_class_0,ESGBERT/EnvironmentalBERT-forest_class_1,ESGBERT/EnvironmentalBERT-action_class_0,ESGBERT/EnvironmentalBERT-action_class_1,ESGBERT/EnvironmentalBERT-environmental_class_0,ESGBERT/EnvironmentalBERT-environmental_class_1,ESGBERT/GovernanceBERT-governance_class_0,ESGBERT/GovernanceBERT-governance_class_1,ESGBERT/SocialBERT-social_class_0,ESGBERT/SocialBERT-social_class_1,ESGBERT/EnvironmentalBERT-water_class_0,ESGBERT/EnvironmentalBERT-water_class_1,ESGBERT/EnvironmentalBERT-biodiversity_class_0,ESGBERT/EnvironmentalBERT-biodiversity_class_1,exchange,ticker,year1,year2,greenwash_score_mean
NASDAQ_PTC_2018_2019,0.0047169789070854,10.512328784042817,14.17,28.47,17.4,17.2,0.1329917197457061,0.3785436823363926,26,3,436,189,4,0.9763249158859252,0.0236750375479459,0.289334237575531,0.7106658220291138,0.6739014983177185,0.3260985016822815,0.9184236526489258,0.0815763473510742,0.3738461136817932,0.6261539459228516,0.9764181971549988,0.0235818196088075,0.9995455741882324,0.0004544213297776,NASDAQ,PTC,2018,2019,3.741212085000001
NASDAQ_TRMB_2018_2020,0.0066964270766903,11.166214996056205,13.49,20.72,17.8,18.5,0.1314855497067034,0.3865744105500024,45,19,808,285,18,0.9571729302406312,0.0428270436823368,0.409865528345108,0.5901345014572144,0.4272608458995819,0.5727391839027405,0.8439898490905762,0.1560101211071014,0.548949658870697,0.4510503113269806,0.952489733695984,0.0475103259086608,0.9805189967155457,0.0194810535758733,NASDAQ,TRMB,2018,2020,-5.594653695000002
NASDAQ_JBLU_2019_2020,0.011428569251701,11.67201251229127,12.65,29.18,16.9,17.2,0.111325209986836,0.3942996786751701,51,27,1073,698,30,0.9863039255142212,0.0136960595846176,0.4887161552906036,0.5112838745117188,0.3334445059299469,0.6665554642677307,0.8499695658683777,0.1500304341316223,0.7093576192855835,0.2906423807144165,0.9760010838508606,0.0239989068359136,0.993933916091919,0.0060660033486783,NASDAQ,JBLU,2019,2020,-2.6115908549999993
NASDAQ_AAWW_2018_2019,0.0080321269011793,11.165281051345763,12.93,21.53,17.5,17.8,0.1269591359925078,0.3650444252716987,37,32,822,310,9,0.9998566508293152,0.0001433118886779,0.3807214796543121,0.6192784905433655,0.5780889987945557,0.4219110608100891,0.7442582845687866,0.2557417452335357,0.5592111945152283,0.4407887756824493,0.9751393795013428,0.0248606391251087,0.9937372207641602,0.0062627675943076,NASDAQ,AAWW,2018,2019,4.854944640000001
NASDAQ_AMD_2014_2015,0.0135135116873632,12.480300869471929,9.99,18.15,16.5,18.0,0.0945484742867142,0.3787013943384451,100,36,2276,1281,29,0.9949095249176024,0.0050904075615108,0.5341631174087524,0.4658369421958923,0.6475491523742676,0.3524508774280548,0.867834746837616,0.1321653723716735,0.7365792393684387,0.2634207308292389,0.9506128430366516,0.0493872314691543,0.9998179078102112,0.0001821641199057,NASDAQ,AMD,2014,2015,-14.358808480000006
NASDAQ_UNFI_2010_2011,0.0604026440250711,10.658294113482802,13.01,38.96,15.6,14.9,0.1276446537432218,0.3919570566486871,12,7,391,288,20,0.9341089725494384,0.0658909901976585,0.2868575751781463,0.713142454624176,0.3675693869590759,0.6324306130409241,0.9788897037506104,0.0211103353649377,0.678397536277771,0.3216023743152618,0.9533299803733826,0.0466699786484241,0.928853452205658,0.071146473288536,NASDAQ,UNFI,2010,2011,-17.23532277
NASDAQ_QCOM_2005_2006,0.0538461124260673,10.719206285484256,13.44,22.65,17.4,17.4,0.1721409257833732,0.3625011529791646,34,11,424,231,8,0.997886598110199,0.0021134095732122,0.4720489382743835,0.5279510617256165,0.7235370874404907,0.2764628529548645,0.9233787059783936,0.076621375977993,0.6087313294410706,0.3912686705589294,0.9726728200912476,0.0273270905017852,0.9985898733139038,0.0014101425185799,NASDAQ,QCOM,2005,2006,0.0
NASDAQ_XLNX_2015_2016,0.0030487795582989,11.122974389503405,12.94,14.49,17.6,19.1,0.1374013347763347,0.3489578443328446,18,21,682,267,6,0.997443914413452,0.0025560692884027,0.5891127586364746,0.410887211561203,0.7476543188095093,0.2523456513881683,0.8515030145645142,0.148497000336647,0.6068247556686401,0.3931752741336822,0.9490966796875,0.0509033426642417,0.9998332262039183,0.00016672014317,NASDAQ,XLNX,2015,2016,-8.338856950000004
NASDAQ_MSFT_2017_2018,0.0323699384543423,11.618941765554109,12.16,21.23,17.8,18.0,0.1577206628390935,0.3440355708934546,169,26,1344,408,23,0.9959392547607422,0.0040606926195323,0.2310375124216079,0.768962562084198,0.514388918876648,0.485611081123352,0.8617967367172241,0.1382033675909042,0.4164496660232544,0.5835503339767456,0.9705281853675842,0.0294718388468027,0.9888135194778442,0.0111864395439624,NASDAQ,MSFT,2017,2018,-26.631505290000007
NASDAQ_QCOM_2007_2008,0.0101351317111041,11.388382129895628,12.26,23.66,16.9,18.0,0.1276800128949065,0.3956333988706331,29,20,795,486,22,0.972058653831482,0.0279413573443889,0.4443569481372833,0.5556430816650391,0.6331201791763306,0.3668798208236694,0.9024328589439392,0.0975671485066413,0.6056117415428162,0.3943882584571838,0.952374279499054,0.0476256608963012,0.9998036026954652,0.0001963560935109,NASDAQ,QCOM,2007,2008,-8.83158796
NASDAQ_ADSK_2011_2012,0.0294116782009464,8.768574284141687,14.4,23.46,16.5,16.6,0.2670897877223179,0.4452952502651298,12,4,54,18,0,0.9998128414154052,0.0001871734129963,0.2481457293033599,0.7518543004989624,0.1656382381916046,0.834361732006073,0.9756903648376464,0.024309579282999,0.5140470266342163,0.4859529435634613,0.9999375939369202,6.238018977455795e-05,0.9998480081558228,0.0001520000514574,NASDAQ,ADSK,2011,2012,-13.025066690000003
NASDAQ_TEAM_2019_2020,0.0332749503896759,11.044887901749451,11.23,33.65,15.3,14.3,0.1095405488001029,0.3819809534061126,31,14,686,425,36,0.9866397976875304,0.013360203243792,0.3873273730278015,0.6126725673675537,0.6108279228210449,0.3891720175743103,0.9186132550239564,0.0813868045806884,0.5176222920417786,0.4823777675628662,0.9933223128318788,0.0066776615567505,0.9997789859771729,0.0002210260863648,NASDAQ,TEAM,2019,2020,0.0
NASDAQ_ADSK_2013_2014,0.0,11.506474703474764,11.88,23.05,17.3,17.1,0.1223670715535237,0.378573286841444,89,34,904,434,24,0.9971774816513062,0.0028224324341863,0.6333415508270264,0.3666584491729736,0.5293402075767517,0.4706598222255707,0.9094535708427428,0.0905463397502899,0.807611346244812,0.1923885643482208,0.9560100436210632,0.0439898632466793,0.9996927976608276,0.000307232083287,NASDAQ,ADSK,2013,2014,-19.832397730000004
NASDAQ_DNKN_2011_2012,0.0125223591194348,11.200718432540258,12.89,29.28,16.8,17.0,0.1163065827897917,0.3864968275229475,50,11,722,448,27,0.9577436447143556,0.0422563962638378,0.1745415925979614,0.8254585266113281,0.6079310774803162,0.3920688927173614,0.9444655776023864,0.0555343739688396,0.6758550405502319,0.3241450190544128,0.9644370079040528,0.0355630032718181,0.9968500137329102,0.00315001164563,NASDAQ,DNKN,2011,2012,-7.485181409999996
NASDAQ_AMZN_2021_2022,0.0050864697311053,12.664680337036424,10.84,22.75,17.0,16.7,0.1357059005704155,0.3644053415964697,321,82,3281,1664,71,0.9528962969779968,0.0471037402749061,0.2303011417388916,0.7696987986564636,0.4301086664199829,0.5698912739753723,0.8806573152542114,0.1193426847457885,0.559324324131012,0.4406756460666656,0.9445145726203918,0.0554853938519954,0.9886038303375244,0.0113962450996041,NASDAQ,AMZN,2021,2022,-24.171262955000003
NASDAQ_AAON_2020_2021,0.010695181446427,10.648657761163223,12.99,23.36,16.6,16.3,0.1471330384564017,0.389627635970751,10,6,405,215,12,0.9998487830162048,0.0001512074668426,0.5131022334098816,0.4868977665901184,0.5261707901954651,0.4738292396068573,0.8692340850830078,0.1307659298181533,0.5690332055091858,0.4309668242931366,0.950448215007782,0.0495517738163471,0.99977844953537,0.0002215486019849,NASDAQ,AAON,2020,2021,-5.080204940000005
