folder_name,market,report_length
NASDAQ_CEQP_2019,NASDAQ,31381
NASDAQ_ZEAL_2013,NASDAQ,8157
NASDAQ_LOGI_2018,NASDAQ,159718
NASDAQ_PTC_2018_2019,NASDAQ,36754
NASDAQ_EGLE_2019,NASDAQ,34889
NASDAQ_INFN_2020,NASDAQ,121635
NASDAQ_AMAT_2016,NASDAQ,42045
NASDAQ_PRGO_2020,NASDAQ,55076
NASDAQ_MSFT_2015,NASDAQ,191181
NASDAQ_FLIR_2018,NASDAQ,45246
NASDAQ_PRGS_2012,NASDAQ,15076
NASDAQ_COMM_2022,NASDAQ,146038
NASDAQ_BIIB_2020,NASDAQ,285078
NASDAQ_PFG_2017,NASDAQ,53487
NASDAQ_TRMB_2018_2020,NASDAQ,70608
NASDAQ_WYNN_2017,NASDAQ,85132
NASDAQ_UNFI_2014,NASDAQ,32130
NASDAQ_BPOP_2019,NASDAQ,67625
NASDAQ_KALU_2019,NASDAQ,79900
NASDAQ_COLM_2019,NASDAQ,91481
NASDAQ_JBLU_2019_2020,NASDAQ,117205
NASDAQ_SNBR_2019,NASDAQ,79137
NASDAQ_SP_2018,NASDAQ,68839
NASDAQ_AAWW_2018_2019,NASDAQ,70536
NASDAQ_CNSL_2019,NASDAQ,21907
NASDAQ_PETD_2018,NASDAQ,7617
NASDAQ_COST_2019,NASDAQ,153452
NASDAQ_TSLA_2018,NASDAQ,66797
NASDAQ_HA_2020,NASDAQ,26893
NASDAQ_CRTO_2018,NASDAQ,72448
NASDAQ_EGLE_2022,NASDAQ,66019
NASDAQ_MKTX_2020,NASDAQ,100889
NASDAQ_REGI_2019,NASDAQ,54664
NASDAQ_AMD_2014_2015,NASDAQ,263048
NASDAQ_ACIW_2021,NASDAQ,38561
NASDAQ_FB_2020,NASDAQ,103153
NASDAQ_EXLS_2020,NASDAQ,190850
NASDAQ_BCPC_2020,NASDAQ,81030
NASDAQ_BCPC_2019,NASDAQ,68525
NASDAQ_INTC_2007,NASDAQ,414813
NASDAQ_SBNY_2020,NASDAQ,101592
NASDAQ_VRSK_2019,NASDAQ,89706
NASDAQ_AAWW_2020,NASDAQ,93508
NASDAQ_ADBE_2016,NASDAQ,15004
NASDAQ_NTGR_2017,NASDAQ,6897
NASDAQ_NLOK_2020,NASDAQ,96114
NASDAQ_FSLR_2020,NASDAQ,98803
NASDAQ_CAR_2018,NASDAQ,91306
NASDAQ_SLAB_2021,NASDAQ,34049
NASDAQ_NLOK_2019,NASDAQ,68872
NASDAQ_CSCO_2011,NASDAQ,415711
NASDAQ_MYL_2019,NASDAQ,301909
NASDAQ_MSFT_2006,NASDAQ,164718
NASDAQ_AAPL_2019,NASDAQ,254435
NASDAQ_CSCO_2013,NASDAQ,571655
NASDAQ_STX_2015,NASDAQ,104352
NASDAQ_PANL_2017,NASDAQ,24141
NASDAQ_MSFT_2003,NASDAQ,70250
NASDAQ_TORM_2021,NASDAQ,61575
NASDAQ_SBUX_2007,NASDAQ,287848
NASDAQ_UNFI_2010_2011,NASDAQ,42452
NASDAQ_XEL_2021,NASDAQ,418681
NASDAQ_VECO_2019,NASDAQ,35742
NASDAQ_ADSK_2018,NASDAQ,34058
NASDAQ_PRGO_2022,NASDAQ,54518
NASDAQ_ICFI_2020,NASDAQ,128054
NASDAQ_VRA_2021,NASDAQ,81341
NASDAQ_TROW_2019,NASDAQ,91041
NASDAQ_GNTX_2020,NASDAQ,68805
NASDAQ_CHRW_2019,NASDAQ,38398
NASDAQ_XEL_2019,NASDAQ,344433
NASDAQ_WYNN_2020,NASDAQ,150133
NASDAQ_UNFI_2015,NASDAQ,20078
NASDAQ_FITB_2021,NASDAQ,279472
NASDAQ_PBCT_2019,NASDAQ,47724
NASDAQ_CME_2021,NASDAQ,105267
NASDAQ_EBAY_2019,NASDAQ,75950
NASDAQ_VSAT_2022,NASDAQ,142605
NASDAQ_TCOM_2021,NASDAQ,64717
NASDAQ_ROST_2021,NASDAQ,113663
NASDAQ_MSFT_2013,NASDAQ,173567
NASDAQ_MDLZ_2021,NASDAQ,283672
NASDAQ_CAR_2019,NASDAQ,127852
NASDAQ_NVDA_2021,NASDAQ,206982
NASDAQ_MATW_2020,NASDAQ,7913
NASDAQ_GMAB_2020,NASDAQ,62176
NASDAQ_AMGN_2021,NASDAQ,193686
NASDAQ_SASR_2021,NASDAQ,50809
NASDAQ_AMAL_2018,NASDAQ,66343
NASDAQ_AAL_2021,NASDAQ,172900
NASDAQ_SBUX_2004,NASDAQ,157565
NASDAQ_COMM_2016,NASDAQ,38187
NASDAQ_STX_2012,NASDAQ,105558
NASDAQ_FLS_2011,NASDAQ,52504
NASDAQ_CBOE_2021,NASDAQ,104659
NASDAQ_ILMN_2019,NASDAQ,141807
NASDAQ_FELE_2021,NASDAQ,82386
NASDAQ_NTGR_2016,NASDAQ,5634
NASDAQ_QCOM_2005_2006,NASDAQ,44935
NASDAQ_PYPL_2018,NASDAQ,51594
NASDAQ_INTC_2009,NASDAQ,426570
NASDAQ_XLNX_2015_2016,NASDAQ,67588
NASDAQ_SONO_2018,NASDAQ,20077
NASDAQ_XRAY_2020,NASDAQ,172713
NASDAQ_XEL_2007,NASDAQ,197594
NASDAQ_FLEX_2018,NASDAQ,175927
NASDAQ_CAMP_2020,NASDAQ,58050
NASDAQ_ERIC_2021,NASDAQ,186389
NASDAQ_ARCB_2020,NASDAQ,143829
NASDAQ_NLOK_2011,NASDAQ,91709
NASDAQ_ILMN_2022,NASDAQ,292941
NASDAQ_MSFT_2017_2018,NASDAQ,111118
NASDAQ_QCOM_2007_2008,NASDAQ,88204
NASDAQ_GMAB_2011,NASDAQ,6784
NASDAQ_KALU_2018,NASDAQ,80137
NASDAQ_COMM_2018,NASDAQ,99692
NASDAQ_ADSK_2011_2012,NASDAQ,5922
NASDAQ_ARCB_2021,NASDAQ,114824
NASDAQ_COST_2021,NASDAQ,274918
NASDAQ_WYNN_2019,NASDAQ,128745
NASDAQ_UIHC_2021,NASDAQ,24512
NASDAQ_SAFM_2018,NASDAQ,96559
NASDAQ_MCHP_2018,NASDAQ,74026
NASDAQ_PRGO_2021,NASDAQ,59279
NASDAQ_IOSP_2011,NASDAQ,64237
NASDAQ_LOGI_2015,NASDAQ,139337
NASDAQ_TEAM_2019_2020,NASDAQ,62594
NASDAQ_DLGS_2012,NASDAQ,34538
NASDAQ_ADSK_2013_2014,NASDAQ,99228
NASDAQ_SSRM_2021,NASDAQ,105669
NASDAQ_AAPL_2018,NASDAQ,185162
NASDAQ_RUN_2018,NASDAQ,88255
NASDAQ_DNKN_2011_2012,NASDAQ,73080
NASDAQ_DLGS_2018,NASDAQ,85075
NASDAQ_CPIX_2019,NASDAQ,26951
NASDAQ_GMAB_2018,NASDAQ,29307
NASDAQ_CSCO_2009,NASDAQ,573198
NASDAQ_STX_2018,NASDAQ,146066
NASDAQ_EQIX_2018,NASDAQ,73334
NASDAQ_STX_2008,NASDAQ,87588
NASDAQ_MYL_2018,NASDAQ,185573
NASDAQ_PLCE_2019,NASDAQ,31300
NASDAQ_SBNY_2019,NASDAQ,34568
NASDAQ_TPIC_2019,NASDAQ,60628
NASDAQ_SPWR_2017,NASDAQ,3413
NASDAQ_AMZN_2021_2022,NASDAQ,316309
NASDAQ_AAON_2020_2021,NASDAQ,42104
NASDAQ_ADSK_2012_2013,NASDAQ,148447
NASDAQ_SENEA_2017,NASDAQ,30147
NASDAQ_SPWR_2018,NASDAQ,3354
NASDAQ_CDNS_2020,NASDAQ,102005
NASDAQ_PLCE_2020,NASDAQ,202663
NASDAQ_NDAQ_2019,NASDAQ,136230
NASDAQ_PRGO_2018,NASDAQ,38387
NASDAQ_DECK_2020_2021,NASDAQ,551044
NASDAQ_EXTR_2022,NASDAQ,53898
NASDAQ_INTC_2015,NASDAQ,302220
NASDAQ_VRTU_2021_2022,NASDAQ,121107
NASDAQ_XEL_2005,NASDAQ,126023
NASDAQ_EQIX_2019,NASDAQ,62956
NASDAQ_ERIC_2020,NASDAQ,172118
NASDAQ_QCOM_2016_2017,NASDAQ,66946
NASDAQ_LOGI_2012,NASDAQ,42057
NASDAQ_DECK_2020,NASDAQ,232498
NASDAQ_ERIC_2016,NASDAQ,244775
NASDAQ_GNTX_2018,NASDAQ,38794
NASDAQ_BIIB_2013,NASDAQ,145812
NASDAQ_KFRC_2020,NASDAQ,8749
NASDAQ_OZK_2019,NASDAQ,61704
NASDAQ_TTEK_2020,NASDAQ,31707
NASDAQ_INTC_2020_2021,NASDAQ,365669
NASDAQ_CWST_2019_2020,NASDAQ,84934
NASDAQ_EXAS_2021,NASDAQ,112197
NASDAQ_KELYA_2020,NASDAQ,149083
NASDAQ_HOLX_2020,NASDAQ,153583
NASDAQ_JBLU_2017,NASDAQ,94708
NASDAQ_STLD_2017,NASDAQ,95834
NASDAQ_ERIC_2018,NASDAQ,102224
NASDAQ_GMAB_2021,NASDAQ,108925
NASDAQ_XEL_2011,NASDAQ,122608
NASDAQ_XRAY_2018,NASDAQ,61190
NASDAQ_XEL_2017,NASDAQ,350805
NASDAQ_PYPL_2021,NASDAQ,211237
NASDAQ_CINF_2021,NASDAQ,49862
NASDAQ_SEDG_2019,NASDAQ,75054
NASDAQ_CRTO_2016,NASDAQ,55223
NASDAQ_COLM_2021,NASDAQ,88055
NASDAQ_SBUX_2017,NASDAQ,44246
NASDAQ_KDP_2021,NASDAQ,193812
NASDAQ_LRCX_2021,NASDAQ,224742
NASDAQ_DLTR_2021,NASDAQ,122521
NASDAQ_MEOH_2019,NASDAQ,106422
NASDAQ_RBBN_2020_2021,NASDAQ,144019
NASDAQ_FITB_2017,NASDAQ,75549
NASDAQ_PTEN_2020,NASDAQ,101921
NASDAQ_JBLU_2021,NASDAQ,102874
NASDAQ_CHRW_2021,NASDAQ,94943
NASDAQ_CWST_2017_2018,NASDAQ,118492
NASDAQ_MSFT_2020,NASDAQ,91613
NASDAQ_WEN_2021,NASDAQ,101030
NASDAQ_TETY_2018,NASDAQ,40844
NASDAQ_FARM_2019,NASDAQ,31761
NASDAQ_FLS_2012,NASDAQ,85677
NASDAQ_KELYA_2014_2015,NASDAQ,75579
NASDAQ_MDLZ,NASDAQ,147388
NASDAQ_CG_2021,NASDAQ,171238
NASDAQ_AEGN_2014,NASDAQ,124498
NASDAQ_QCOM_2015_2016,NASDAQ,109257
NASDAQ_INTU_2018,NASDAQ,47404
NASDAQ_BIIB_2021,NASDAQ,472030
NASDAQ_AGII_2021,NASDAQ,55100
NASDAQ_OTEX_2019_2020,NASDAQ,79537
NASDAQ_VRTU_2020_2021,NASDAQ,125210
NASDAQ_SBUX_2020,NASDAQ,56032
NASDAQ_CONE_2020,NASDAQ,318886
NASDAQ_SBNY_2021,NASDAQ,232444
NASDAQ_PFG_2019,NASDAQ,152161
NASDAQ_WDC_2021,NASDAQ,204227
NASDAQ_TRMB_2017,NASDAQ,15861
NASDAQ_SEDG_2021,NASDAQ,158714
NASDAQ_TXN_2014,NASDAQ,167811
NASDAQ_ADBE_2017,NASDAQ,16338
NASDAQ_RUN_2021,NASDAQ,141355
NASDAQ_ZION_2021,NASDAQ,94080
NASDAQ_MDLZ_2020,NASDAQ,201748
NASDAQ_XLNX_2013_2014,NASDAQ,54635
NASDAQ_IOSP_2019,NASDAQ,138543
NASDAQ_ZEAL_2017,NASDAQ,27467
NASDAQ_AZPN_2019,NASDAQ,33680
NASDAQ_BLDP_2020,NASDAQ,38161
NASDAQ_STX_2007,NASDAQ,95692
NASDAQ_FLEX_2010_2011,NASDAQ,158952
NASDAQ_AAPL_2017,NASDAQ,146013
NASDAQ_COMM_2019,NASDAQ,242637
NASDAQ_NTRS_2018,NASDAQ,64895
NASDAQ_BIIB_2016,NASDAQ,190515
NASDAQ_ADI_2020,NASDAQ,114037
NASDAQ_AMZN_2020_2021,NASDAQ,289939
NASDAQ_DXCM_2020,NASDAQ,59312
NASDAQ_QCOM_2011_2012,NASDAQ,179953
NASDAQ_VRTU_2018_2019,NASDAQ,116381
NASDAQ_GOGL_2019,NASDAQ,31469
NASDAQ_KELYA_2021,NASDAQ,154756
NASDAQ_LOVE_2021,NASDAQ,41828
NASDAQ_DOO_2022,NASDAQ,57179
NASDAQ_FISV_2021,NASDAQ,119476
NASDAQ_TXN_2011,NASDAQ,39974
NASDAQ_BIIB_2018,NASDAQ,130759
NASDAQ_SFM_2021,NASDAQ,72388
NASDAQ_LNDC_2019_2020,NASDAQ,73121
NASDAQ_ON_2012,NASDAQ,58525
NASDAQ_AEGN_2013,NASDAQ,100766
NASDAQ_CSX_2013,NASDAQ,304313
NASDAQ_NCLH_2017,NASDAQ,41763
NASDAQ_SPWR_2014,NASDAQ,3758
NASDAQ_INTC_2006,NASDAQ,270654
NASDAQ_WEN_2019,NASDAQ,33705
NASDAQ_AAPL_2015,NASDAQ,101649
NASDAQ_XEL_2006,NASDAQ,145897
NASDAQ_NDAQ_2020,NASDAQ,246910
NASDAQ_CAMP_2021,NASDAQ,57112
NASDAQ_PYPL_2017,NASDAQ,56351
NASDAQ_SGH_2021,NASDAQ,92710
NASDAQ_HURN_2020,NASDAQ,41916
NASDAQ_BREW_2018,NASDAQ,18044
NASDAQ_DNKN_2015_2016,NASDAQ,93786
NASDAQ_FANG_2018,NASDAQ,50325
NASDAQ_CCRN_2021,NASDAQ,51561
NASDAQ_NTRS_2019,NASDAQ,69463
NASDAQ_SBLK_2021,NASDAQ,126650
NASDAQ_BCPC_2018,NASDAQ,55416
NASDAQ_CMCSA_2019,NASDAQ,58627
NASDAQ_AGII_2022,NASDAQ,80805
NASDAQ_QCOM_2019_2020,NASDAQ,185058
NASDAQ_CSCO_2015,NASDAQ,438367
NASDAQ_SBUX_2013,NASDAQ,67563
NASDAQ_AVGO_2021,NASDAQ,115916
NASDAQ_DXCM_2021,NASDAQ,84653
NASDAQ_SGC_2019,NASDAQ,33497
NASDAQ_GEVO_2021,NASDAQ,70078
NASDAQ_TXN_2021,NASDAQ,199503
NASDAQ_MDLZ_2018,NASDAQ,97583
NASDAQ_REGN_2021,NASDAQ,149989
NASDAQ_ADBE_2019,NASDAQ,31475
NASDAQ_ARNA_2020,NASDAQ,26893
NASDAQ_NCLH_2016,NASDAQ,47481
NASDAQ_CAC_2020,NASDAQ,33510
NASDAQ_SHOO_2019,NASDAQ,95340
NASDAQ_INTC_2012,NASDAQ,499953
NASDAQ_GOGL_2018,NASDAQ,36626
NASDAQ_MYL_2016,NASDAQ,134084
NASDAQ_QCOM_2006_2007,NASDAQ,87126
