ticker,year,folder_name,exchange,lagged_year,company_name
AAPL,2004,,,,
AAPL,2005,,,,
AAPL,2006,,,,
AAPL,2007,,,,
AAPL,2008,,,,
AAPL,2009,,,,
AAPL,2010,,,,
AAPL,2011,,,,
AAPL,2012,,,,
AAPL,2013,,,,
AATI,2007,,,,
AATI,2008,,,,
ABAX,2010,,,,
ABBV,2003,,,,
ABBV,2005,,,,
ABBV,2006,,,,
ABBV,2009,,,,
ABBV,2010,,,,
ABBV,2011,,,,
ABBV,2012,,,,
ABBV,2013,,,,
ABBV,2014,,,,
ABBV,2015,,,,
ABBV,2016,,,,
ABBV,2017,,,,
ABT,2003,,,,
ABT,2004,,,,
ABT,2007,,,,
ABT,2008,,,,
ABT,2009,,,,
ABT,2010,,,,
ABT,2011,,,,
ACCO,2012,,,,
ACHN,2014,,,,
ACLS,2011,,,,
ACN,2005,,,,
ACN,2007,,,,
ADBE,2010,,,,
ADBE,2012,,,,
ADCT,2007,,,,
ADI,2006,,,,
ADI,2007,,,,
ADI,2008,,,,
ADI,2009,,,,
ADI,2010,,,,
ADI,2011,,,,
ADI,2012,,,,
ADI,2013,,,,
ADI,2014,,,,
ADI,2015,,,,
ADI,2016,,,,
ADI,2017,,,,
ADM,2004,,,,
ADM,2007,,,,
ADM,2008,,,,
ADM,2009,,,,
ADM,2010,,,,
ADM,2011,,,,
ADM,2012,,,,
ADM,2013,,,,
ADMA,2015,,,,
ADNC,2008,,,,
ADNC,2009,,,,
ADSK,2007,,,,
ADSK,2008,,,,
ADSK,2013,,,,
ADSK,2014,,,,
ADSK,2015,,,,
ADSK,2016,,,,
ADTN,2007,,,,
ADTN,2009,,,,
ADTN,2010,,,,
ADTN,2011,,,,
ADTN,2012,,,,
ADTN,2013,,,,
ADTN,2016,,,,
AEIS,2007,,,,
AEIS,2008,,,,
AEIS,2009,,,,
AEIS,2010,,,,
AEIS,2011,,,,
AEIS,2012,,,,
AEIS,2013,,,,
AES,2004,,,,
AES,2011,,,,
AFFX,2006,,,,
AFFX,2009,,,,
AGCO,2009,,,,
AGCO,2010,,,,
AGCO,2011,,,,
AGCO,2012,,,,
AGCO,2015,,,,
AGEN,2018,,,,
AGIO,2010,,,,
AGIO,2017,,,,
AGN,2005,,,,
AGN,2006,,,,
AGN,2007,,,,
AGN,2008,,,,
AGN,2010,,,,
ALB,2005,,,,
ALDR,2016,,,,
ALDR,2017,,,,
ALGN,2006,,,,
ALGN,2007,,,,
ALGN,2011,,,,
ALGN,2014,,,,
ALGN,2015,,,,
ALGN,2016,,,,
ALGN,2017,,,,
ALGN,2018,,,,
ALNY,2003,,,,
ALNY,2005,,,,
ALNY,2007,,,,
ALNY,2008,,,,
ALNY,2009,,,,
ALNY,2010,,,,
ALNY,2011,,,,
ALNY,2012,,,,
ALNY,2014,,,,
ALNY,2015,,,,
ALNY,2016,,,,
ALNY,2017,,,,
ALOG,2010,,,,
ALOG,2013,,,,
ALOG,2015,,,,
ALRM,2014,,,,
ALRM,2016,,,,
ALRM,2018,,,,
ALSN,2008,,,,
ALSN,2009,,,,
ALSN,2011,,,,
ALSN,2012,,,,
ALSN,2013,,,,
ALSN,2014,,,,
ALSN,2015,,,,
ALSN,2016,,,,
ALSN,2018,,,,
ALTR,2001,,,,
ALTR,2004,,,,
ALTR,2007,,,,
ALTR,2008,,,,
ALTR,2009,,,,
ALTR,2010,,,,
ALTR,2010,,,,
ALTR,2011,,,,
ALTR,2012,,,,
ALTR,2013,,,,
ALTR,2014,,,,
ALTR,2014,,,,
AMAT,2003,,,,
AMAT,2004,,,,
AMAT,2005,,,,
AMAT,2006,,,,
AMAT,2007,,,,
AMAT,2008,,,,
AMAT,2009,,,,
AMAT,2010,,,,
AMAT,2011,,,,
AMAT,2012,,,,
AMCC,2009,,,,
AMCC,2010,,,,
